mountain,mountainLabel,coordinates,elevation,rockMaterialLabel
http://www.wikidata.org/entity/Q136877,Pointe de Chésery,Point(6.803333333 46.203611111),2249,осадочная горная порода
http://www.wikidata.org/entity/Q136911,Крндия,Point(17.89838769 45.44977067),792,осадочная горная порода
http://www.wikidata.org/entity/Q140084,Хваннадальсхнукюр,Point(-16.678257886 64.013767128),2110,Липарит
http://www.wikidata.org/entity/Q140084,Хваннадальсхнукюр,Point(-16.674722222 64.015833333),2110,Липарит
http://www.wikidata.org/entity/Q144327,Невадо-дель-Толима,Point(-75.333333333 4.666666666),5200,андезит
http://www.wikidata.org/entity/Q148998,Ještěd,Point(14.985277777 50.732222222),1012,Филлит
http://www.wikidata.org/entity/Q152071,Guadalupe Hill,Point(-74.0544 4.59194),3260,осадочная горная порода
http://www.wikidata.org/entity/Q152073,Monserrate,Point(-74.056389 4.605833),3152,осадочная горная порода
http://www.wikidata.org/entity/Q152380,Чайтен,Point(-72.645833333 -42.832777777),1122,Липарит
http://www.wikidata.org/entity/Q154369,Étale,Point(6.4475 45.85),2484,осадочная горная порода
http://www.wikidata.org/entity/Q154896,Le Grammont,Point(6.821166666 46.357472222),2172,осадочная горная порода
http://www.wikidata.org/entity/Q155036,Pointe de l'Au,Point(6.841111111 46.200277777),2152,осадочная горная порода
http://www.wikidata.org/entity/Q158526,Монте-Титано,Point(12.452222222 43.928333333),739,известняк
http://www.wikidata.org/entity/Q158526,Монте-Титано,Point(12.452222222 43.928333333),756,известняк
http://www.wikidata.org/entity/Q159671,Луж,Point(14.646944444 50.848888888),792,фонолит
http://www.wikidata.org/entity/Q163890,Престахнукур,Point(-20.58 64.6),1223,Липарит
http://www.wikidata.org/entity/Q170070,Манаслу,Point(84.559722222 28.55),8163,гранит
http://www.wikidata.org/entity/Q172070,Кения,Point(37.2 -0.1),5199,сиенит
http://www.wikidata.org/entity/Q178167,Косцюшко,Point(148.2635105 -36.4558303),2228,метаморфическая горная порода
http://www.wikidata.org/entity/Q181476,Котопахи,Point(-78.437777777 -0.680555555),5897,вулканический туф
http://www.wikidata.org/entity/Q182913,Гримсвотн,Point(-17.33 64.42),1725,базальт
http://www.wikidata.org/entity/Q182913,Гримсвотн,Point(-17.33 64.42),1725,Пикробазальты
http://www.wikidata.org/entity/Q183027,Гарибальди,Point(-123.004722222 49.850555555),2678,Дацит
http://www.wikidata.org/entity/Q185847,Вулкан Врангеля,Point(-144.015833333 62.006944444),4317,андезит
http://www.wikidata.org/entity/Q188982,Эребус,Point(167.283333333 -77.533333333),3794,базальт
http://www.wikidata.org/entity/Q190562,Камерун,Point(9.1725 4.216666666),4095,базальт
http://www.wikidata.org/entity/Q192356,Le Linleu,Point(6.817222222 46.315833333),2093,осадочная горная порода
http://www.wikidata.org/entity/Q572865,Мисти,Point(-71.410555555 -16.296388888),5825,андезит
http://www.wikidata.org/entity/Q572889,Lovoš,Point(14.017977777 50.527680555),573,базальт
http://www.wikidata.org/entity/Q575009,Grande Motte,Point(6.870278 45.411111),3653,известняк
http://www.wikidata.org/entity/Q580131,Сламет,Point(109.22 -7.239),3428,базальт
http://www.wikidata.org/entity/Q580131,Сламет,Point(109.22 -7.239),3432,базальт
http://www.wikidata.org/entity/Q588460,Grintovec,Point(14.5354262 46.3571332),2558,известняк
http://www.wikidata.org/entity/Q1110479,Colomby de Gex,Point(5.99514 46.32233),1484,известняк
http://www.wikidata.org/entity/Q1110479,Colomby de Gex,Point(5.99514 46.32233),1688,известняк
http://www.wikidata.org/entity/Q1110479,Colomby de Gex,Point(5.99527778 46.32222222),1484,известняк
http://www.wikidata.org/entity/Q1110479,Colomby de Gex,Point(5.99527778 46.32222222),1688,известняк
http://www.wikidata.org/entity/Q1112292,вулкан Зимина,Point(160.605833333 55.860833333),3080,базальт
http://www.wikidata.org/entity/Q1115155,Fußstein,Point(11.6492 47.0467),3380,гранит
http://www.wikidata.org/entity/Q1118982,Chinchey,Point(-77.33 -9.382438888),6222,гранит
http://www.wikidata.org/entity/Q1118982,Chinchey,Point(-77.33 -9.382438888),6309,гранит
http://www.wikidata.org/entity/Q1122340,Ринкон-де-ла-Вьеха,Point(-85.323888888 10.83),1916,андезит
http://www.wikidata.org/entity/Q1130928,Temetiu,Point(-139.08 -9.797222222),1190,вулканические горные породы
http://www.wikidata.org/entity/Q1136496,Monte Nerone,Point(12.516666666 43.558333333),1525,известняк
http://www.wikidata.org/entity/Q194057,Рейнир,Point(-121.760277777 46.851666666),4389,андезит
http://www.wikidata.org/entity/Q194057,Рейнир,Point(-121.760277777 46.851666666),4389,basaltic andesite
http://www.wikidata.org/entity/Q200808,Černá hora,Point(15.74194444 50.6525),1300,orthogneiss
http://www.wikidata.org/entity/Q200935,Уаскаран,Point(-77.6 -9.116666666),6768,гранит
http://www.wikidata.org/entity/Q202629,Lonquimay,Point(-71.58991814 -38.37919),2865,андезит
http://www.wikidata.org/entity/Q203568,Арагац,Point(44.195277777 40.523055555),4090,лава
http://www.wikidata.org/entity/Q205392,Grand Capucin,Point(6.898333333 45.852083333),3838,гранит
http://www.wikidata.org/entity/Q207421,Тунгурауа,Point(-78.441666666 -1.466944444),5016,андезит
http://www.wikidata.org/entity/Q207680,Казбек,Point(44.518888888 42.696944444),5033,трахит
http://www.wikidata.org/entity/Q208081,Ането,Point(0.656686111 42.630991666),3404,гранит
http://www.wikidata.org/entity/Q209064,Мон-Ванту,Point(5.283333333 44.166666666),1910,известняк
http://www.wikidata.org/entity/Q210252,Ключевская Сопка,Point(160.633333333 56.066666666),4800,андезит
http://www.wikidata.org/entity/Q210722,Пан-ди-Асукар,Point(-43.156666666 -22.949444444),395,гранит
http://www.wikidata.org/entity/Q210722,Пан-ди-Асукар,Point(-43.156666666 -22.949444444),395,гнейс
http://www.wikidata.org/entity/Q211529,Хан-Тенгри,Point(80.175 42.210833333),7010,мрамор
http://www.wikidata.org/entity/Q213360,Столовая гора,Point(18.41352 -33.96216),1085,песчаник
