mountain,mountainLabel,area,countryLabel,rockMaterialLabel
http://www.wikidata.org/entity/Q708609,Чхильбосан,2500,КНДР,
http://www.wikidata.org/entity/Q718361,Arzberg,2000000,Германия,
http://www.wikidata.org/entity/Q720720,Каркар,362,Папуа — Новая Гвинея,
http://www.wikidata.org/entity/Q744254,Epprechtstein,5000,Германия,
http://www.wikidata.org/entity/Q750190,Сулайман-Тоо,112,Кыргызстан,
http://www.wikidata.org/entity/Q750190,Сулайман-Тоо,4788,Кыргызстан,
http://www.wikidata.org/entity/Q775345,Mount Cangyan,63,Китай,
http://www.wikidata.org/entity/Q873358,Саньциншань,2200,Китай,
http://www.wikidata.org/entity/Q1305720,Йохоа,90,Гондурас,
http://www.wikidata.org/entity/Q1310658,Эйриксйёкудль,22,Исландия,
http://www.wikidata.org/entity/Q1324660,Эль-Тигре,20,Гондурас,
http://www.wikidata.org/entity/Q1340711,Мехетиа,2.3,Франция,
http://www.wikidata.org/entity/Q1341169,Kleiner Kulm bei Neustadt am Kulm,1500,Германия,
http://www.wikidata.org/entity/Q1364168,Себелан,6585,Иран,
http://www.wikidata.org/entity/Q1414448,Тофуа,55.63,Тонга,
http://www.wikidata.org/entity/Q1417491,Finkenstein von Rügersgrün,1800,Германия,
http://www.wikidata.org/entity/Q1430721,Grand Mesa,1300,США,
http://www.wikidata.org/entity/Q1434038,Uludoruk,8,Турция,
http://www.wikidata.org/entity/Q1438367,Инкауаси (остров),0.2462,Боливия,
http://www.wikidata.org/entity/Q1467964,Zselic,1160,Венгрия,
http://www.wikidata.org/entity/Q1483357,Fürstenstein,900,Германия,
http://www.wikidata.org/entity/Q1501193,Gempenplateau,4397,Швейцария,
http://www.wikidata.org/entity/Q1518125,Qubbet el-Hawa,32.68,Египет,
http://www.wikidata.org/entity/Q1520405,Као,11.6,Тонга,
http://www.wikidata.org/entity/Q1526711,Monte Kaolino,160000,Германия,
http://www.wikidata.org/entity/Q1549066,Großer Waldstein,7000,Германия,
http://www.wikidata.org/entity/Q1558814,Gänsheide,0.86,Германия,
http://www.wikidata.org/entity/Q1573427,Mount Hamiguitan,16037,Филиппины,
http://www.wikidata.org/entity/Q1591405,Vladař,121.5608,Чехия,
http://www.wikidata.org/entity/Q1615280,Koitsche,47575.197,Германия,
http://www.wikidata.org/entity/Q1620895,Ngarrabullgan,17926.17984569,Австралия,
http://www.wikidata.org/entity/Q1641985,Hällberget,0,Швеция,
http://www.wikidata.org/entity/Q1641985,Hällberget,188.095,Швеция,
http://www.wikidata.org/entity/Q1641985,Hällberget,192.4,Швеция,
http://www.wikidata.org/entity/Q1641985,Hällberget,192.41,Швеция,
http://www.wikidata.org/entity/Q1698782,Лаошань,400,Китай,
http://www.wikidata.org/entity/Q1979357,Neubürg,460,Германия,
http://www.wikidata.org/entity/Q1983409,Peña de los Enamorados,258.8,Испания,
